,California,Florida,Virginia,New York,Texas,Nevada,Arizona,New Jersey,Massachusetts,South Carolina,North Carolina,New Mexico,Utah,Colorado,Tennessee,West Virginia,Hawaii,Illinois,Michigan,Kentucky,Ohio,Montana,Oregon,Connecticut,the District of Columbia,Georgia,Missouri,Wisconsin,Arkansas,Oklahoma,New Hampshire,Minnesota,Pennsylvania,Washington,Kansas,Idaho,Nebraska,Wyoming,Vermont,Alaska,Iowa,Rhode Island,Indiana,Alabama,Maryland,South Dakota,Mississippi,Maine,Delaware,Louisiana,North Dakota
2000-11-01,225866.0,122544.0,143368.0,159178.0,116192.0,169686.0,143245.0,200513.0,231306.0,128186.0,139700.0,,188196.0,205538.0,116643.0,69313.0,234124.0,157017.0,129893.0,95202.0,114699.0,,166897.0,184891.0,206567.0,139487.0,106370.0,123054.0,82173.0,82497.0,153910.0,149837.0,110538.0,183405.0,96994.0,128755.0,119925.0,,133750.0,132252.0,98014.0,156177.0,105143.0,104155.0,170089.0,115039.0,86694.0,124423.0,159250.0,109862.0,
2000-12-01,228497.0,123317.0,144393.0,160386.0,116573.0,170363.0,143885.0,201920.0,234446.0,128617.0,140313.0,,188770.0,207597.0,117066.0,69920.0,235015.0,158001.0,130760.0,95674.0,115151.0,,167430.0,186106.0,207098.0,140503.0,107076.0,123601.0,82676.0,82933.0,155846.0,151590.0,111044.0,184282.0,97509.0,129010.0,120266.0,,134699.0,132650.0,98522.0,157380.0,105826.0,104628.0,171048.0,114859.0,87322.0,125611.0,159994.0,110470.0,
2001-01-01,230608.0,124088.0,145436.0,161541.0,116810.0,171057.0,144512.0,203285.0,237197.0,129209.0,140964.0,,189342.0,209727.0,117574.0,70625.0,235779.0,158920.0,131564.0,96264.0,115585.0,,168052.0,187254.0,208354.0,141505.0,107563.0,124104.0,83292.0,83424.0,157541.0,153091.0,111549.0,185196.0,98175.0,129506.0,120859.0,,135509.0,136006.0,98812.0,158532.0,106313.0,105170.0,171783.0,115001.0,87903.0,127126.0,160909.0,111169.0,
2001-02-01,232794.0,124901.0,146327.0,162502.0,116767.0,171859.0,145147.0,205009.0,239779.0,129719.0,141413.0,,189624.0,211702.0,117953.0,70948.0,236581.0,159743.0,132195.0,96778.0,115956.0,,168543.0,188261.0,209499.0,142363.0,107911.0,124679.0,83592.0,83882.0,159540.0,154491.0,112036.0,186128.0,98931.0,129971.0,121167.0,,136571.0,140499.0,99155.0,159769.0,106454.0,105604.0,172521.0,115346.0,88216.0,128437.0,161613.0,111770.0,
2001-03-01,235293.0,125761.0,147302.0,163453.0,116559.0,172706.0,145787.0,206723.0,242414.0,130287.0,141812.0,,189812.0,213731.0,118300.0,71241.0,237252.0,160707.0,132767.0,97282.0,116342.0,,169095.0,189565.0,210956.0,143115.0,108397.0,125276.0,83834.0,84254.0,161339.0,155965.0,112567.0,186992.0,99687.0,130654.0,117461.0,,137682.0,145875.0,99362.0,161155.0,106509.0,105969.0,173158.0,115999.0,88433.0,129691.0,162501.0,112386.0,
2001-04-01,238441.0,126696.0,148303.0,164468.0,116479.0,173566.0,146435.0,208602.0,245177.0,130606.0,142096.0,,190003.0,215669.0,118568.0,71355.0,238085.0,161637.0,133300.0,97707.0,116731.0,,169535.0,190991.0,213203.0,143789.0,109027.0,125949.0,83946.0,84586.0,163259.0,157589.0,113145.0,187815.0,100268.0,131222.0,113521.0,,138780.0,148960.0,99721.0,162820.0,106547.0,106216.0,174119.0,116476.0,88641.0,130644.0,163287.0,112895.0,
2001-05-01,241351.0,127668.0,149425.0,165553.0,116573.0,174458.0,147085.0,210334.0,247968.0,131020.0,142446.0,,190098.0,217571.0,118875.0,71685.0,239354.0,162766.0,133927.0,98147.0,117108.0,,170034.0,192501.0,215431.0,144538.0,109709.0,126560.0,84260.0,84845.0,165397.0,159130.0,113632.0,188430.0,100795.0,131744.0,109813.0,,139697.0,151549.0,100071.0,164442.0,106859.0,106468.0,175137.0,117219.0,89031.0,131916.0,164125.0,113313.0,
2001-06-01,243878.0,128674.0,150481.0,166703.0,116710.0,175370.0,147724.0,212264.0,250872.0,131428.0,142759.0,,190310.0,219259.0,119133.0,71935.0,240684.0,163811.0,134485.0,98599.0,117425.0,,170514.0,193895.0,217582.0,145225.0,110406.0,127169.0,84564.0,85106.0,167612.0,160642.0,114104.0,189071.0,101292.0,132052.0,110110.0,,140537.0,153658.0,100495.0,166023.0,107218.0,106712.0,176330.0,117386.0,89367.0,133239.0,164872.0,113671.0,
2001-07-01,246273.0,129767.0,151638.0,167881.0,116834.0,176422.0,148313.0,214256.0,253921.0,131951.0,143033.0,,190443.0,220954.0,119362.0,72175.0,242131.0,164911.0,135031.0,99028.0,117775.0,,171095.0,195172.0,219805.0,145895.0,111086.0,127787.0,84915.0,85343.0,169732.0,162230.0,114601.0,189627.0,101774.0,132420.0,110453.0,,141397.0,155715.0,100867.0,167701.0,107623.0,106989.0,177520.0,117647.0,89620.0,134701.0,165551.0,114007.0,
2001-08-01,248665.0,130924.0,152749.0,169094.0,116924.0,177577.0,148926.0,216447.0,257260.0,132292.0,143370.0,,190755.0,222640.0,119661.0,72395.0,243483.0,166026.0,135596.0,99376.0,118156.0,,171760.0,197026.0,222398.0,146582.0,111697.0,128424.0,85167.0,85640.0,171570.0,164047.0,115148.0,190405.0,102222.0,132905.0,110713.0,,142125.0,156929.0,101284.0,169802.0,107911.0,107201.0,178852.0,117567.0,89916.0,135781.0,166230.0,114415.0,
2001-09-01,251046.0,132099.0,153919.0,170233.0,117032.0,178680.0,149559.0,218778.0,260357.0,132604.0,143695.0,,190995.0,224133.0,119967.0,72569.0,245090.0,167208.0,136220.0,99669.0,118535.0,,172345.0,198961.0,225184.0,147265.0,112306.0,129053.0,85391.0,85955.0,173506.0,165946.0,115684.0,191027.0,102627.0,133417.0,110987.0,,142886.0,157832.0,101687.0,172060.0,108005.0,107483.0,180184.0,117628.0,90177.0,136860.0,166974.0,114845.0,
2001-10-01,253294.0,133263.0,155021.0,171452.0,117156.0,179731.0,150265.0,221202.0,263824.0,132915.0,144073.0,,191286.0,225417.0,120319.0,72794.0,246709.0,168411.0,136842.0,99935.0,118897.0,,172917.0,201190.0,227948.0,147950.0,112961.0,129665.0,85512.0,86247.0,175346.0,167911.0,116158.0,191824.0,103060.0,133884.0,111228.0,,143754.0,158428.0,102093.0,174627.0,108253.0,107823.0,181426.0,117877.0,90602.0,137811.0,167797.0,115270.0,
2001-11-01,255415.0,134359.0,156218.0,172738.0,117228.0,180579.0,150970.0,223292.0,267142.0,133269.0,144322.0,,191464.0,226435.0,120568.0,72897.0,248076.0,169453.0,137383.0,100212.0,119221.0,,173426.0,202931.0,230545.0,148552.0,113661.0,130252.0,85621.0,86485.0,177142.0,169677.0,116677.0,192471.0,103492.0,134115.0,111478.0,,144865.0,159386.0,102483.0,176719.0,108419.0,108144.0,182680.0,118145.0,90836.0,139114.0,168669.0,115683.0,
2001-12-01,257413.0,135453.0,157325.0,174129.0,117298.0,181547.0,151602.0,225166.0,270232.0,133611.0,144564.0,,191530.0,227230.0,120750.0,72987.0,249305.0,170325.0,137904.0,100466.0,119531.0,,174030.0,204339.0,233260.0,149132.0,114369.0,130836.0,85698.0,86719.0,178963.0,171126.0,117165.0,193414.0,103961.0,134386.0,111771.0,,145985.0,160366.0,102913.0,178867.0,108753.0,108349.0,183990.0,118280.0,91025.0,140299.0,169575.0,116012.0,
2002-01-01,258950.0,136498.0,158375.0,175520.0,117365.0,182340.0,152105.0,226964.0,272584.0,133840.0,144778.0,,191579.0,227599.0,120884.0,73058.0,250106.0,171127.0,138493.0,100683.0,119799.0,,174608.0,205504.0,235808.0,149644.0,115011.0,131401.0,85828.0,86966.0,180805.0,172328.0,117676.0,194129.0,104404.0,134540.0,112135.0,,147173.0,161111.0,103151.0,180470.0,108731.0,108454.0,185344.0,118402.0,91134.0,141732.0,170521.0,116244.0,
2002-02-01,260644.0,137497.0,159455.0,176796.0,117564.0,183062.0,152583.0,228993.0,274714.0,133983.0,144994.0,,191512.0,228077.0,121103.0,73303.0,251432.0,172021.0,139025.0,100939.0,120062.0,,175190.0,206724.0,238493.0,150203.0,115657.0,131979.0,86013.0,87291.0,182591.0,173392.0,118218.0,194916.0,104769.0,134881.0,112483.0,,148377.0,161842.0,103338.0,182404.0,108782.0,108644.0,186659.0,119091.0,91202.0,143172.0,171518.0,116617.0,
2002-03-01,262643.0,138497.0,160608.0,177889.0,117927.0,183911.0,153142.0,231127.0,277066.0,134148.0,145221.0,,191677.0,228823.0,121337.0,73624.0,252864.0,173152.0,139530.0,101178.0,120344.0,,175747.0,208299.0,240676.0,150715.0,116198.0,132523.0,86212.0,87564.0,184138.0,174443.0,118814.0,195586.0,105103.0,135098.0,112817.0,,149662.0,162539.0,103442.0,184291.0,108642.0,108799.0,188019.0,119501.0,91295.0,144740.0,172624.0,117058.0,
2002-04-01,265399.0,139574.0,161922.0,179011.0,118395.0,184943.0,153764.0,233291.0,279598.0,134303.0,145353.0,137504.0,191850.0,229760.0,121535.0,73873.0,254706.0,174098.0,139891.0,101416.0,120630.0,,176325.0,210077.0,243410.0,151248.0,116731.0,133056.0,86409.0,87837.0,185902.0,175443.0,119474.0,196186.0,105401.0,135351.0,113055.0,146758.0,150866.0,163539.0,103821.0,186599.0,108587.0,108984.0,189585.0,119775.0,91264.0,146372.0,173751.0,117566.0,
2002-05-01,268482.0,140721.0,163221.0,180194.0,118855.0,186061.0,154366.0,235485.0,282283.0,134571.0,145570.0,137764.0,191981.0,230723.0,121728.0,74040.0,256094.0,175130.0,140245.0,101600.0,120931.0,,177061.0,212097.0,246336.0,151738.0,117268.0,133576.0,86650.0,88037.0,187471.0,176796.0,120149.0,196647.0,105245.0,135597.0,113435.0,144712.0,151924.0,164186.0,104289.0,189189.0,108696.0,109191.0,191528.0,119830.0,91444.0,147818.0,174838.0,118564.0,
2002-06-01,271853.0,141908.0,164673.0,181566.0,119355.0,186946.0,155059.0,237925.0,284992.0,134801.0,145755.0,137826.0,192083.0,231502.0,121933.0,74188.0,257776.0,176038.0,140610.0,101803.0,121225.0,,177903.0,214309.0,249763.0,152214.0,117888.0,134111.0,86926.0,88247.0,189303.0,178057.0,120858.0,197028.0,105074.0,135977.0,113742.0,144060.0,152945.0,164604.0,104843.0,191939.0,108999.0,109429.0,193628.0,120296.0,91646.0,149342.0,175973.0,119312.0,
2002-07-01,275814.0,143100.0,166175.0,182992.0,119836.0,187827.0,155797.0,240609.0,288116.0,135166.0,146026.0,138183.0,192182.0,232268.0,122166.0,74394.0,259917.0,177241.0,140910.0,102066.0,121554.0,,178786.0,216558.0,252957.0,152631.0,118535.0,134635.0,87244.0,88477.0,191041.0,179438.0,121639.0,197582.0,104895.0,136303.0,114087.0,142951.0,153795.0,164964.0,105249.0,194986.0,109343.0,109691.0,195882.0,120740.0,92007.0,150815.0,177101.0,120117.0,
2002-08-01,280026.0,144406.0,167762.0,184589.0,120356.0,188750.0,156673.0,243973.0,291332.0,135464.0,146257.0,138536.0,192145.0,232731.0,122348.0,74644.0,262752.0,178512.0,141262.0,102342.0,121872.0,,179427.0,218645.0,255962.0,153033.0,119105.0,135233.0,87492.0,88728.0,193157.0,180633.0,122519.0,198241.0,104876.0,136587.0,114356.0,143346.0,154570.0,165382.0,105591.0,198692.0,109386.0,109894.0,198153.0,121099.0,92240.0,152142.0,178278.0,,
2002-09-01,284229.0,145642.0,169317.0,186176.0,120771.0,189531.0,157354.0,247608.0,294950.0,135782.0,146488.0,138964.0,191924.0,233272.0,122554.0,74879.0,266136.0,179771.0,141560.0,102636.0,122192.0,,180006.0,220402.0,259290.0,153464.0,119723.0,135832.0,87777.0,89013.0,195348.0,181927.0,123406.0,198855.0,104908.0,136873.0,114690.0,144173.0,155203.0,165975.0,105831.0,203141.0,109319.0,110139.0,200368.0,121641.0,92567.0,153420.0,179323.0,119903.0,
2002-10-01,288174.0,146884.0,170826.0,187713.0,121124.0,190557.0,158091.0,251372.0,299233.0,136081.0,146718.0,139305.0,191439.0,233831.0,122814.0,75234.0,269237.0,180943.0,141974.0,102910.0,122522.0,,180568.0,222784.0,262933.0,153936.0,120398.0,136543.0,88124.0,89285.0,197813.0,183170.0,124261.0,199472.0,104942.0,137188.0,115071.0,144750.0,155956.0,166402.0,106156.0,207181.0,109410.0,110385.0,202499.0,121902.0,92902.0,154567.0,180463.0,119944.0,
2002-11-01,292096.0,148040.0,172239.0,189194.0,121429.0,191706.0,158714.0,254654.0,303608.0,136428.0,146927.0,139644.0,191228.0,234356.0,123059.0,75415.0,271972.0,181800.0,142345.0,103191.0,122883.0,,181318.0,225469.0,267502.0,154343.0,121083.0,137160.0,88496.0,89562.0,200062.0,184443.0,124954.0,200061.0,105769.0,137440.0,115427.0,145271.0,156787.0,167009.0,106536.0,210417.0,109625.0,110662.0,204433.0,122067.0,93198.0,155862.0,181593.0,120466.0,
2002-12-01,295989.0,149377.0,173555.0,190787.0,121696.0,193015.0,159468.0,257746.0,307642.0,136775.0,147167.0,139957.0,190998.0,234555.0,123307.0,75569.0,274006.0,182783.0,142749.0,103436.0,123252.0,,182045.0,227970.0,272039.0,154678.0,121679.0,137787.0,88848.0,89829.0,202357.0,185890.0,125661.0,200471.0,106457.0,137568.0,115845.0,145512.0,157722.0,167549.0,106978.0,212969.0,109892.0,110943.0,206487.0,122145.0,93419.0,157193.0,182904.0,120970.0,
2003-01-01,299285.0,150736.0,174696.0,192359.0,121952.0,194220.0,160127.0,260752.0,310654.0,137117.0,147410.0,140320.0,190898.0,234594.0,123469.0,75625.0,276476.0,183726.0,143129.0,103669.0,123592.0,,182747.0,229981.0,275899.0,155001.0,122204.0,138275.0,89073.0,90081.0,204527.0,187326.0,126352.0,201063.0,107172.0,137696.0,116296.0,146038.0,158645.0,167967.0,107344.0,215519.0,109949.0,111177.0,208385.0,122796.0,93538.0,158659.0,184276.0,121453.0,
2003-02-01,302390.0,152170.0,175934.0,193946.0,122148.0,195452.0,160870.0,263774.0,313671.0,137535.0,147655.0,140589.0,190964.0,234673.0,123736.0,75962.0,279576.0,184863.0,143511.0,103954.0,123945.0,,183381.0,231497.0,279233.0,155341.0,122778.0,138819.0,89353.0,90348.0,206810.0,188640.0,127099.0,201660.0,107404.0,137959.0,116766.0,146599.0,159693.0,168345.0,107673.0,218468.0,110006.0,111494.0,210412.0,123897.0,93710.0,160033.0,185824.0,121890.0,
2003-03-01,305780.0,153635.0,177270.0,195740.0,122404.0,196828.0,161511.0,266786.0,316786.0,137929.0,147896.0,140818.0,190942.0,235095.0,123982.0,76345.0,283310.0,185894.0,143732.0,104254.0,124276.0,,184093.0,233468.0,282170.0,155741.0,123339.0,139475.0,89610.0,90634.0,209171.0,189850.0,127816.0,202676.0,107267.0,138044.0,117209.0,147019.0,160752.0,168689.0,107923.0,221707.0,110036.0,111812.0,212443.0,124429.0,93969.0,161263.0,187452.0,122207.0,
2003-04-01,309795.0,155215.0,178855.0,197424.0,122627.0,198268.0,162278.0,269823.0,320265.0,138214.0,148089.0,140985.0,191165.0,235505.0,124289.0,76756.0,286847.0,187067.0,143997.0,104556.0,124633.0,,184879.0,235660.0,285720.0,156092.0,123906.0,140169.0,89929.0,90952.0,211263.0,191002.0,128599.0,203667.0,106737.0,138550.0,117573.0,147558.0,161729.0,169223.0,108206.0,225086.0,110189.0,112218.0,214708.0,124619.0,94302.0,162271.0,189136.0,122264.0,
2003-05-01,314190.0,156827.0,180556.0,199127.0,122844.0,199978.0,163042.0,272976.0,323585.0,138505.0,148305.0,141227.0,191369.0,235718.0,124573.0,77097.0,290660.0,188085.0,144425.0,104838.0,124973.0,,185766.0,238312.0,289314.0,156401.0,124521.0,141011.0,90289.0,91202.0,213579.0,192323.0,129558.0,204896.0,106486.0,139037.0,118070.0,148346.0,162739.0,170108.0,108488.0,228677.0,110404.0,112512.0,217141.0,124237.0,94585.0,163788.0,190881.0,122268.0,
2003-06-01,317955.0,158393.0,182315.0,200750.0,123044.0,201674.0,163898.0,276320.0,326434.0,138846.0,148495.0,141673.0,191785.0,235834.0,124883.0,77432.0,294626.0,189029.0,144964.0,105103.0,125366.0,,186732.0,240845.0,293177.0,156662.0,125200.0,141881.0,90653.0,91409.0,215669.0,193531.0,130677.0,205998.0,106609.0,139651.0,118490.0,149354.0,163789.0,171251.0,108811.0,232517.0,110702.0,112765.0,219849.0,124422.0,94794.0,165368.0,192454.0,122386.0,
2003-07-01,322166.0,159939.0,184247.0,202488.0,123233.0,203754.0,164763.0,279790.0,328621.0,139374.0,148738.0,142220.0,192005.0,235990.0,125173.0,77778.0,298551.0,189936.0,145455.0,105376.0,125790.0,,187829.0,243257.0,296926.0,156920.0,125869.0,142856.0,91058.0,91596.0,217767.0,194860.0,131847.0,207150.0,107324.0,139968.0,119053.0,150121.0,164909.0,173142.0,109204.0,236699.0,111016.0,112999.0,222639.0,124776.0,94843.0,167250.0,194029.0,122700.0,
2003-08-01,326660.0,161546.0,186183.0,204505.0,123475.0,205942.0,165724.0,283358.0,330845.0,139855.0,149043.0,142800.0,192095.0,236231.0,125475.0,77984.0,302570.0,191142.0,145915.0,105655.0,126291.0,,189050.0,245383.0,300478.0,157278.0,126540.0,143981.0,91399.0,91843.0,219674.0,196124.0,132904.0,208512.0,107897.0,140281.0,119496.0,150832.0,,174478.0,109687.0,240283.0,111243.0,113267.0,225510.0,125531.0,95071.0,169163.0,195607.0,123197.0,
2003-09-01,331811.0,163212.0,188196.0,206648.0,123668.0,208529.0,166822.0,286591.0,333445.0,140344.0,149352.0,143224.0,192159.0,236492.0,125785.0,78175.0,306453.0,192515.0,146425.0,105992.0,126780.0,,190223.0,247816.0,304036.0,157652.0,127209.0,145145.0,91800.0,92133.0,221932.0,197522.0,133951.0,209871.0,108574.0,140687.0,120066.0,151438.0,168745.0,176171.0,110182.0,243506.0,111391.0,113569.0,228444.0,126518.0,95294.0,171295.0,197451.0,123671.0,
2003-10-01,336634.0,164886.0,190255.0,208788.0,123885.0,211171.0,167868.0,289482.0,336294.0,140808.0,149656.0,143720.0,192283.0,236722.0,126131.0,78300.0,311873.0,193825.0,147044.0,106331.0,127253.0,,191461.0,249850.0,308261.0,158028.0,127932.0,146389.0,92173.0,92391.0,224328.0,198769.0,134930.0,211211.0,109079.0,140995.0,120545.0,152180.0,171043.0,177611.0,110667.0,246695.0,111617.0,113816.0,231447.0,127629.0,95672.0,173501.0,199188.0,124273.0,
2003-11-01,341262.0,166508.0,192226.0,210511.0,124011.0,214326.0,168708.0,291915.0,339088.0,141268.0,149917.0,144317.0,192511.0,237157.0,126433.0,78578.0,317400.0,194901.0,147551.0,106637.0,127620.0,,192525.0,252326.0,311661.0,158345.0,128583.0,147187.0,92546.0,92615.0,226298.0,200028.0,135805.0,212248.0,109364.0,141171.0,121059.0,152879.0,172147.0,178984.0,111102.0,250007.0,111826.0,114091.0,234189.0,128281.0,95855.0,175097.0,200706.0,124707.0,
2003-12-01,345762.0,168050.0,194129.0,212081.0,124138.0,217473.0,169434.0,294290.0,341641.0,141735.0,150244.0,145179.0,192752.0,237600.0,126721.0,78916.0,321966.0,195852.0,148051.0,106910.0,127971.0,,193593.0,254558.0,314774.0,158710.0,129273.0,147866.0,92886.0,92851.0,227887.0,201234.0,136586.0,213437.0,109680.0,141472.0,121561.0,153448.0,173130.0,180070.0,111518.0,253488.0,112064.0,114339.0,236755.0,128528.0,95995.0,176704.0,202010.0,125157.0,
2004-01-01,350559.0,169619.0,195837.0,213727.0,124680.0,221099.0,170099.0,296736.0,344051.0,142167.0,150585.0,145871.0,192993.0,237975.0,127007.0,79371.0,326218.0,196973.0,148533.0,107160.0,128270.0,,194384.0,256776.0,318101.0,159033.0,129877.0,148440.0,93264.0,93159.0,229529.0,202395.0,137286.0,214744.0,109881.0,141831.0,122089.0,153964.0,174018.0,180053.0,111842.0,256363.0,112223.0,114617.0,239116.0,128615.0,96171.0,178329.0,203438.0,125601.0,
2004-02-01,356055.0,171211.0,197870.0,215326.0,,224743.0,171064.0,299385.0,346590.0,142668.0,150950.0,146686.0,193402.0,238298.0,127373.0,79879.0,331332.0,198092.0,148935.0,107450.0,128642.0,,195337.0,258531.0,321800.0,159407.0,130366.0,149285.0,93737.0,93505.0,231381.0,203651.0,138227.0,216098.0,110183.0,142410.0,122660.0,154561.0,175728.0,180934.0,112074.0,259797.0,112395.0,114891.0,241777.0,129237.0,96433.0,180457.0,204956.0,126157.0,
2004-03-01,362261.0,173013.0,200276.0,216629.0,,,172222.0,302455.0,349269.0,143203.0,151271.0,147230.0,193815.0,238695.0,127786.0,80495.0,336975.0,199264.0,149381.0,107699.0,129029.0,,196475.0,260389.0,326111.0,159774.0,130735.0,150129.0,94255.0,93806.0,233345.0,204881.0,139141.0,217530.0,110621.0,143030.0,123196.0,155380.0,177410.0,181480.0,112329.0,262949.0,112648.0,115221.0,244426.0,129965.0,96777.0,182606.0,206550.0,126790.0,
2004-04-01,369337.0,174994.0,203155.0,218002.0,128868.0,236170.0,173623.0,305773.0,352298.0,143704.0,151615.0,147828.0,194269.0,239314.0,128243.0,80993.0,343362.0,200568.0,149677.0,107892.0,129401.0,,197921.0,262758.0,330016.0,160268.0,131052.0,151168.0,94797.0,94070.0,235505.0,206350.0,140189.0,219213.0,111327.0,143742.0,123694.0,156439.0,179236.0,182866.0,112674.0,266429.0,112856.0,115540.0,247667.0,130498.0,97067.0,184594.0,208583.0,127378.0,
2004-05-01,377507.0,177312.0,206554.0,219670.0,129826.0,243685.0,175328.0,309671.0,355240.0,144361.0,151924.0,148526.0,194433.0,240052.0,128652.0,81426.0,349453.0,202010.0,150083.0,108101.0,129761.0,,199686.0,265633.0,334913.0,160747.0,131525.0,152459.0,95248.0,94307.0,237928.0,207789.0,141407.0,221392.0,111899.0,144490.0,124267.0,157616.0,181604.0,184016.0,113055.0,270085.0,113255.0,115931.0,251225.0,131169.0,97351.0,187167.0,211003.0,127863.0,
